epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2302,1.23784,2.81778,1.37991,0.82249,0.57949,0.74748,0.47283,1.0322,1.2092,1.28878,0.000253353,0.000253353,0.000253353
2,31.3698,1.15682,1.68649,1.32437,0.77662,0.85745,0.92611,0.58679,0.98711,1.37775,1.25255,0.000499594,0.000499594,0.000499594
3,43.9543,1.12345,1.48664,1.28271,0.74105,0.86189,0.9295,0.58732,0.94003,1.40614,1.2185,0.000735685,0.000735685,0.000735685
4,58.4894,1.10734,1.41106,1.28105,0.76582,0.88355,0.93643,0.58778,0.9541,1.18995,1.21927,0.000723321,0.000723321,0.000723321
5,72.9097,1.12221,1.36487,1.27576,0.75293,0.90211,0.93956,0.59664,0.91877,1.27317,1.20562,0.000708095,0.000708095,0.000708095
6,88.0901,1.09257,1.34264,1.26826,0.81493,0.88444,0.94198,0.59236,0.91782,1.18733,1.20205,0.000692869,0.000692869,0.000692869
7,102.2,1.1028,1.33097,1.27301,0.74787,0.88975,0.93688,0.59402,0.88971,1.2084,1.17932,0.000677643,0.000677643,0.000677643
8,115.217,1.09634,1.31426,1.265,0.71322,0.90552,0.9326,0.59418,0.89219,1.19724,1.1778,0.000662417,0.000662417,0.000662417
9,128.46,1.08355,1.28659,1.26206,0.76456,0.88863,0.93699,0.60221,0.88297,1.17139,1.1789,0.00064719,0.00064719,0.00064719
10,141.368,1.07394,1.27986,1.25448,0.74049,0.89319,0.93091,0.59383,0.8819,1.12977,1.16896,0.000631964,0.000631964,0.000631964
11,154.234,1.07385,1.27897,1.2514,0.72385,0.91097,0.93215,0.58986,0.86623,1.19625,1.16576,0.000616738,0.000616738,0.000616738
12,166.968,1.07068,1.26218,1.24444,0.75023,0.90183,0.93421,0.59082,0.8695,1.18818,1.17227,0.000601512,0.000601512,0.000601512
13,179.685,1.07272,1.25877,1.25745,0.74536,0.8749,0.93344,0.589,0.89275,1.20061,1.1828,0.000586286,0.000586286,0.000586286
14,192.554,1.0813,1.24941,1.25928,0.7415,0.90103,0.9292,0.58972,0.88629,1.12079,1.17032,0.000571059,0.000571059,0.000571059
15,205.601,1.06578,1.25689,1.25296,0.91415,0.74632,0.93723,0.59848,0.87567,1.15612,1.16924,0.000555833,0.000555833,0.000555833
16,218.993,1.05514,1.24255,1.24257,0.74131,0.90135,0.93262,0.59865,0.87085,1.12558,1.16752,0.000540607,0.000540607,0.000540607
17,232.168,1.05826,1.24201,1.24206,0.77556,0.89806,0.93385,0.59338,0.88999,1.16807,1.18317,0.000525381,0.000525381,0.000525381
18,245.525,1.05306,1.22914,1.24088,0.74169,0.90419,0.93611,0.59842,0.86966,1.17804,1.16001,0.000510155,0.000510155,0.000510155
19,258.876,1.05035,1.24055,1.23875,0.72222,0.90132,0.93213,0.59542,0.88213,1.15278,1.17124,0.000494928,0.000494928,0.000494928
20,271.635,1.04895,1.22576,1.23769,0.75105,0.90451,0.93616,0.5981,0.86235,1.11531,1.15828,0.000479702,0.000479702,0.000479702
21,284.792,1.04405,1.22317,1.23845,0.7248,0.9124,0.9337,0.59588,0.86621,1.14284,1.15894,0.000464476,0.000464476,0.000464476
22,298.636,1.04389,1.22574,1.24193,0.73023,0.89972,0.93429,0.59646,0.85568,1.14382,1.15774,0.00044925,0.00044925,0.00044925
23,311.957,1.05683,1.22089,1.23955,0.74471,0.90728,0.93073,0.59675,0.87526,1.11122,1.1632,0.000434024,0.000434024,0.000434024
24,324.804,1.0431,1.21221,1.23542,0.7333,0.91017,0.93072,0.59321,0.89525,1.08497,1.17188,0.000418797,0.000418797,0.000418797
25,337.429,1.03254,1.21126,1.23356,0.74687,0.90584,0.93449,0.59482,0.871,1.12843,1.1564,0.000403571,0.000403571,0.000403571
26,350.101,1.03878,1.20195,1.23379,0.70455,0.89401,0.92938,0.59231,0.8711,1.15486,1.16336,0.000388345,0.000388345,0.000388345
