epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.07421,1.80049,3.93592,1.51127,0.00381,0.55556,0.02929,0.01261,1.94964,3.51411,1.44258,5.001e-05,5.001e-05,5.001e-05
2,3.13402,1.83891,3.81497,1.5452,0.00591,0.88889,0.29389,0.13033,2.00802,3.58037,1.35124,0.00011438,0.00011438,0.00011438
3,4.13665,1.87653,3.32117,1.39175,0.00631,0.94444,0.44829,0.19407,1.86866,3.34059,1.22728,0.000176109,0.000176109,0.000176109
4,5.17986,1.73091,2.48748,1.24048,0.00629,0.94444,0.52463,0.30115,1.64164,3.19011,1.14316,0.000235197,0.000235197,0.000235197
5,6.18286,1.76358,2.25017,1.32998,0.00667,1,0.58703,0.35162,1.61181,3.13845,1.1657,0.000291645,0.000291645,0.000291645
6,7.13805,1.64395,2.01483,1.25922,0.0063,0.94444,0.46973,0.31611,1.62751,3.20125,1.28336,0.000345452,0.000345452,0.000345452
7,8.07116,1.55778,2.18719,1.25838,0.0064,0.94444,0.5206,0.33669,1.64898,3.2078,1.29877,0.000396619,0.000396619,0.000396619
8,9.01703,1.54465,1.9436,1.25056,0.00635,0.88889,0.51174,0.311,1.67932,3.22296,1.27289,0.000445146,0.000445146,0.000445146
9,9.96204,1.49795,1.89178,1.23602,0.00694,0.94444,0.4985,0.27094,1.59523,3.25162,1.27234,0.000491032,0.000491032,0.000491032
10,10.877,1.44296,1.68937,1.17537,0.00762,1,0.38162,0.23393,1.57681,3.31391,1.31407,0.000534277,0.000534277,0.000534277
11,11.7994,1.54822,1.73747,1.25889,0.77891,0.16667,0.30522,0.17782,1.57575,3.35642,1.31969,0.000574882,0.000574882,0.000574882
12,12.7303,1.45156,1.69075,1.21539,0.00611,0.88889,0.31339,0.16272,1.55632,3.41656,1.37028,0.000612846,0.000612846,0.000612846
13,13.6941,1.49628,1.63571,1.23254,0.00591,0.88889,0.39006,0.19105,1.54432,3.34116,1.36372,0.00064817,0.00064817,0.00064817
14,14.6059,1.42692,1.58567,1.22197,0.00592,0.88889,0.38865,0.22095,1.55546,3.21845,1.35132,0.000680853,0.000680853,0.000680853
