epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2174,1.22492,2.64047,1.40344,0.82919,0.56601,0.70695,0.44452,0.98477,0.85926,1.23419,0.000253353,0.000253353,0.000253353
2,34.1671,1.05529,1.00405,1.25245,0.88764,0.81145,0.91334,0.58374,0.92546,0.70607,1.17417,0.000499594,0.000499594,0.000499594
3,47.4924,1.01169,0.805,1.20683,0.92612,0.81613,0.92581,0.58803,0.89187,0.64278,1.15665,0.000735685,0.000735685,0.000735685
4,60.6236,0.99348,0.73991,1.19414,0.92119,0.85724,0.9311,0.58842,0.90799,0.60453,1.14728,0.000723321,0.000723321,0.000723321
5,73.8666,0.98543,0.71128,1.18329,0.89513,0.8544,0.93212,0.5924,0.85879,0.58558,1.12511,0.000708095,0.000708095,0.000708095
6,86.8063,0.97299,0.67533,1.17101,0.9126,0.83535,0.93141,0.58961,0.88617,0.58332,1.14059,0.000692869,0.000692869,0.000692869
7,99.9208,0.96538,0.65907,1.16807,0.9124,0.86927,0.9381,0.60192,0.86968,0.55074,1.12689,0.000677643,0.000677643,0.000677643
8,113.176,0.96502,0.64655,1.16185,0.89833,0.84069,0.92744,0.58937,0.87506,0.53172,1.12816,0.000662417,0.000662417,0.000662417
9,126.167,0.96122,0.63425,1.1625,0.90754,0.85711,0.93455,0.59464,0.85425,0.50282,1.11414,0.00064719,0.00064719,0.00064719
10,139.353,0.95498,0.62139,1.15476,0.9118,0.84704,0.93222,0.59877,0.85228,0.48811,1.11002,0.000631964,0.000631964,0.000631964
11,152.369,0.95107,0.62051,1.15253,0.90137,0.84472,0.92835,0.59677,0.86503,0.50255,1.12214,0.000616738,0.000616738,0.000616738
12,165.391,0.95002,0.61739,1.14812,0.91822,0.81664,0.92574,0.59517,0.85926,0.49272,1.11299,0.000601512,0.000601512,0.000601512
13,178.386,0.95042,0.60751,1.15447,0.91945,0.82915,0.93176,0.59644,0.84933,0.49299,1.10979,0.000586286,0.000586286,0.000586286
14,191.386,0.94311,0.59965,1.15229,0.90713,0.83044,0.92272,0.59098,0.84162,0.48076,1.11157,0.000571059,0.000571059,0.000571059
15,204.613,0.93897,0.59201,1.15007,0.90234,0.84315,0.92689,0.59128,0.8612,0.47945,1.11127,0.000555833,0.000555833,0.000555833
16,217.719,0.93491,0.5904,1.14349,0.9101,0.83992,0.92636,0.59403,0.85328,0.47942,1.10976,0.000540607,0.000540607,0.000540607
17,230.765,0.93929,0.59294,1.13904,0.89699,0.85737,0.92986,0.59697,0.84699,0.48983,1.11182,0.000525381,0.000525381,0.000525381
18,243.768,0.93141,0.583,1.14138,0.87509,0.8544,0.92646,0.59246,0.85867,0.47731,1.11473,0.000510155,0.000510155,0.000510155
19,256.884,0.93565,0.58241,1.14166,0.91059,0.84318,0.93074,0.59756,0.84673,0.46475,1.10792,0.000494928,0.000494928,0.000494928
20,269.911,0.93452,0.57598,1.13923,0.89915,0.86627,0.93241,0.59655,0.84739,0.46139,1.109,0.000479702,0.000479702,0.000479702
21,282.988,0.93008,0.57327,1.1403,0.89244,0.85767,0.92733,0.59066,0.85021,0.46778,1.11044,0.000464476,0.000464476,0.000464476
22,296.002,0.92567,0.57258,1.13582,0.86708,0.83976,0.91961,0.58943,0.84677,0.47301,1.1002,0.00044925,0.00044925,0.00044925
23,308.989,0.92777,0.56775,1.13447,0.87633,0.83111,0.92221,0.58906,0.84193,0.46058,1.10485,0.000434024,0.000434024,0.000434024
24,321.927,0.9258,0.56906,1.13588,0.89101,0.8442,0.92483,0.59591,0.83442,0.46407,1.09697,0.000418797,0.000418797,0.000418797
25,334.995,0.92336,0.56977,1.13472,0.87761,0.84496,0.92129,0.59237,0.8436,0.4514,1.10586,0.000403571,0.000403571,0.000403571
26,348.093,0.92218,0.56305,1.13735,0.90317,0.82455,0.92567,0.59498,0.84471,0.46633,1.10708,0.000388345,0.000388345,0.000388345
