epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,361.128,0.91817,0.56261,1.12656,0.89511,0.84673,0.92329,0.58914,0.8455,0.46305,1.10189,0.000373119,0.000373119,0.000373119
28,374.144,0.91633,0.55837,1.12694,0.89566,0.8431,0.9235,0.58916,0.84625,0.46192,1.10458,0.000357893,0.000357893,0.000357893
29,387.122,0.92053,0.56396,1.13467,0.86895,0.85398,0.92054,0.58731,0.84127,0.4547,1.11205,0.000342666,0.000342666,0.000342666
30,400.118,0.91788,0.55466,1.13641,0.89497,0.8425,0.92232,0.58812,0.84535,0.44317,1.10854,0.00032744,0.00032744,0.00032744
31,413.115,0.91448,0.55871,1.12889,0.88115,0.84952,0.92352,0.58967,0.8342,0.43562,1.10183,0.000312214,0.000312214,0.000312214
32,426.124,0.91408,0.55215,1.12668,0.88089,0.84483,0.92196,0.58512,0.84764,0.45158,1.10754,0.000296988,0.000296988,0.000296988
33,439.346,0.91198,0.55621,1.1312,0.89348,0.84294,0.92577,0.58949,0.84135,0.45904,1.10523,0.000281762,0.000281762,0.000281762
34,452.323,0.91433,0.55058,1.12582,0.89006,0.86567,0.92761,0.58921,0.8522,0.44573,1.11011,0.000266535,0.000266535,0.000266535
35,465.249,0.91219,0.55311,1.12092,0.88453,0.8552,0.9255,0.58811,0.84434,0.45194,1.09972,0.000251309,0.000251309,0.000251309
36,478.293,0.91049,0.54855,1.12706,0.8844,0.8486,0.91738,0.58799,0.83725,0.44852,1.10494,0.000236083,0.000236083,0.000236083
37,491.317,0.90662,0.54672,1.12008,0.88903,0.84625,0.9219,0.58626,0.84928,0.44557,1.1114,0.000220857,0.000220857,0.000220857
38,504.247,0.90714,0.54231,1.12414,0.88958,0.84849,0.92228,0.58548,0.84941,0.44792,1.1049,0.000205631,0.000205631,0.000205631
39,517.314,0.90076,0.54298,1.11686,0.89538,0.85094,0.92223,0.58484,0.84613,0.44659,1.10687,0.000190404,0.000190404,0.000190404
40,530.24,0.90719,0.54514,1.12335,0.87654,0.8488,0.91875,0.58755,0.83636,0.44741,1.1057,0.000175178,0.000175178,0.000175178
41,567.913,0.90558,0.54595,1.11592,0.90719,0.84071,0.92425,0.58566,0.83763,0.43832,1.10188,0.000159952,0.000159952,0.000159952
42,581.189,0.90047,0.53733,1.11361,0.8744,0.85918,0.92113,0.58332,0.84372,0.44049,1.1016,0.000144726,0.000144726,0.000144726
43,594.801,0.89635,0.54074,1.11436,0.87476,0.85013,0.92137,0.58469,0.84258,0.43444,1.1055,0.0001295,0.0001295,0.0001295
44,607.771,0.89909,0.54163,1.11567,0.89197,0.83535,0.91545,0.58592,0.83956,0.43171,1.10485,0.000114273,0.000114273,0.000114273
45,620.793,0.8972,0.5327,1.11975,0.8998,0.83032,0.91992,0.5862,0.83764,0.4368,1.10495,9.90472e-05,9.90472e-05,9.90472e-05
46,633.858,0.89499,0.5345,1.1181,0.89374,0.84064,0.92029,0.58467,0.83992,0.43911,1.10191,8.3821e-05,8.3821e-05,8.3821e-05
47,646.803,0.89386,0.53448,1.11692,0.88701,0.84748,0.92225,0.58669,0.83917,0.44366,1.10085,6.85948e-05,6.85948e-05,6.85948e-05
48,659.791,0.89548,0.53496,1.1126,0.89385,0.84082,0.91907,0.58447,0.83675,0.43939,1.10203,5.33686e-05,5.33686e-05,5.33686e-05
49,673.077,0.89648,0.53228,1.1135,0.88744,0.84078,0.91771,0.58227,0.83519,0.43616,1.10247,3.81424e-05,3.81424e-05,3.81424e-05
50,685.869,0.89282,0.53426,1.10945,0.89567,0.84218,0.9188,0.58309,0.83518,0.4357,1.10271,2.29162e-05,2.29162e-05,2.29162e-05
