step,x_pixel,y_pixel
0,197,122
1,192,122
2,187,122
3,182,122
4,177,122
5,177,127
6,177,132
7,177,137
8,177,142
9,177,147
10,177,152
11,177,157
12,177,162
13,177,167
14,177,172
15,177,177
16,177,182
17,177,187
18,177,192
19,177,197
20,177,202
21,177,207
22,177,212
