step,x_pixel,y_pixel
0,122,117
1,127,117
2,132,117
3,137,117
4,137,122
5,137,127
6,137,132
7,137,137
8,137,142
9,137,147
10,137,152
11,137,157
12,137,162
13,137,167
14,137,172
15,137,177
16,137,182
17,137,187
18,137,192
