step,x_pixel,y_pixel
0,212,17
1,207,17
2,202,17
3,197,17
4,192,17
5,187,17
6,182,17
7,177,17
8,172,17
9,167,17
10,162,17
11,157,17
12,152,17
13,147,17
14,142,17
15,142,22
16,142,27
17,142,32
