step,x_pixel,y_pixel
0,77,197
1,77,192
2,82,192
3,87,192
4,92,192
5,97,192
6,102,192
7,102,187
8,107,187
9,112,187
10,112,182
11,117,182
12,122,182
13,122,177
14,127,177
15,127,172
16,127,167
17,132,167
18,132,162
19,132,157
20,137,157
21,137,152
22,137,147
23,137,142
24,137,137
25,137,132
26,137,127
27,137,122
28,137,117
29,137,112
30,137,107
31,137,102
32,132,102
33,132,97
34,132,92
35,127,92
36,127,87
37,127,82
38,127,77
39,127,72
40,122,72
41,117,72
42,112,72
43,107,72
44,102,72
45,97,72
46,92,72
47,87,72
48,82,72
49,77,72
50,72,72
51,67,72
