step,x_pixel,y_pixel
0,182,177
1,177,177
2,172,177
3,167,177
4,162,177
5,157,177
6,152,177
7,147,177
8,142,177
9,137,177
10,132,177
11,127,177
12,122,177
13,117,177
14,112,177
15,107,177
16,102,177
17,97,177
18,92,177
19,87,177
