step,x_pixel,y_pixel
0,77,12
1,82,12
2,87,12
3,92,12
4,97,12
5,102,12
6,102,17
7,102,22
8,102,27
9,102,32
10,102,37
11,102,42
12,102,47
13,102,52
14,102,57
15,102,62
16,102,67
17,102,72
18,102,77
