step,x_pixel,y_pixel
0,112,117
1,117,117
2,122,117
3,127,117
4,132,117
5,137,117
6,137,122
7,142,122
8,142,127
9,142,132
10,142,137
11,142,142
12,142,147
13,142,152
14,142,157
15,142,162
16,142,167
17,142,172
18,142,177
19,142,182
20,142,187
21,142,192
22,142,197
23,142,202
24,142,207
25,142,212
26,142,217
