step,x_pixel,y_pixel
0,127,87
1,127,82
2,127,77
3,132,77
4,132,72
5,132,67
6,137,67
7,142,67
8,147,67
9,152,67
10,157,67
11,162,67
12,167,67
13,172,67
14,177,67
15,182,67
16,187,67
17,192,67
18,197,67
