step,x_pixel,y_pixel
0,157,107
1,157,112
2,157,117
3,157,122
4,157,127
5,157,132
6,157,137
7,162,137
8,162,142
9,162,147
10,167,147
11,167,152
12,167,157
13,172,157
14,172,162
