step,x_pixel,y_pixel
0,77,57
1,82,57
2,87,57
3,92,57
4,97,57
5,102,57
6,107,57
7,112,57
8,112,62
9,112,67
10,112,72
11,112,77
12,112,82
13,112,87
14,112,92
15,112,97
16,112,102
17,112,107
18,112,112
19,112,117
20,112,122
21,112,127
22,112,132
