epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7823,1.20854,2.74443,1.32078,0.85201,0.5035,0.6382,0.4089,1.03241,1.22666,1.1998,0.000253353,0.000253353,0.000253353
2,43.3553,1.06651,0.95783,1.19611,0.82374,0.73589,0.84375,0.53447,0.97912,0.72065,1.10311,0.000499594,0.000499594,0.000499594
3,62.4746,0.99626,0.70635,1.14905,0.88646,0.83552,0.91045,0.56312,0.91606,0.67549,1.09478,0.000735685,0.000735685,0.000735685
4,81.4046,0.98347,0.63213,1.12876,0.90172,0.83018,0.92283,0.58991,0.87034,0.58833,1.07967,0.000723321,0.000723321,0.000723321
5,100.407,0.97505,0.6013,1.12489,0.89965,0.82353,0.91594,0.58678,0.86762,0.55684,1.08169,0.000708095,0.000708095,0.000708095
6,119.343,0.96676,0.57715,1.1241,0.87792,0.82615,0.91458,0.59274,0.84426,0.51455,1.07995,0.000692869,0.000692869,0.000692869
7,138.28,0.96008,0.55857,1.11721,0.86595,0.82795,0.91219,0.58709,0.84917,0.52183,1.09002,0.000677643,0.000677643,0.000677643
8,157.289,0.95637,0.54404,1.11114,0.90182,0.84957,0.93076,0.60088,0.83136,0.47567,1.0814,0.000662417,0.000662417,0.000662417
9,176.307,0.9524,0.53015,1.11325,0.91239,0.81748,0.91957,0.59112,0.88128,0.49775,1.10464,0.00064719,0.00064719,0.00064719
10,195.436,0.94931,0.52122,1.10775,0.89387,0.84019,0.93099,0.59662,0.82267,0.45611,1.08242,0.000631964,0.000631964,0.000631964
11,214.691,0.94815,0.51226,1.1076,0.88852,0.8388,0.92935,0.59942,0.82797,0.44724,1.08141,0.000616738,0.000616738,0.000616738
12,234.099,0.94206,0.50705,1.10467,0.87161,0.85048,0.92157,0.59329,0.83662,0.45162,1.09399,0.000601512,0.000601512,0.000601512
13,253.517,0.93536,0.49477,1.09924,0.89685,0.83212,0.92972,0.60432,0.84386,0.44432,1.10042,0.000586286,0.000586286,0.000586286
14,273.245,0.9395,0.49431,1.10943,0.90644,0.8197,0.92878,0.59658,0.84602,0.43703,1.08921,0.000571059,0.000571059,0.000571059
15,292.977,0.92964,0.48172,1.10333,0.90497,0.87007,0.93423,0.59885,0.84371,0.41405,1.11083,0.000555833,0.000555833,0.000555833
16,313.043,0.93216,0.4807,1.10693,0.8743,0.80891,0.92114,0.59325,0.83553,0.45782,1.11011,0.000540607,0.000540607,0.000540607
17,333.024,0.92974,0.47967,1.10675,0.91253,0.84681,0.93965,0.59622,0.8514,0.43275,1.10106,0.000525381,0.000525381,0.000525381
18,352.751,0.92859,0.47339,1.09876,0.90028,0.83091,0.92938,0.60163,0.82667,0.43336,1.0974,0.000510155,0.000510155,0.000510155
19,371.609,0.93042,0.47142,1.10274,0.92722,0.81131,0.92567,0.59767,0.83276,0.4159,1.10016,0.000494928,0.000494928,0.000494928
20,390.5,0.93331,0.46907,1.10381,0.89474,0.82445,0.91822,0.59297,0.81029,0.41674,1.10441,0.000479702,0.000479702,0.000479702
21,409.339,0.92185,0.46277,1.09748,0.90231,0.85604,0.93179,0.59488,0.83043,0.39698,1.09997,0.000464476,0.000464476,0.000464476
22,429.079,0.91831,0.45485,1.09505,0.88342,0.83455,0.92269,0.59831,0.83062,0.40414,1.1005,0.00044925,0.00044925,0.00044925
23,449.645,0.9159,0.45673,1.10287,0.89964,0.82462,0.91488,0.59197,0.86148,0.40779,1.12143,0.000434024,0.000434024,0.000434024
24,469.378,0.91635,0.45306,1.09607,0.91033,0.84974,0.93295,0.60108,0.82338,0.39146,1.08722,0.000418797,0.000418797,0.000418797
25,489.164,0.91453,0.45163,1.09637,0.91068,0.83294,0.93126,0.60163,0.83147,0.39262,1.10418,0.000403571,0.000403571,0.000403571
26,508.513,0.91525,0.44829,1.0928,0.88197,0.84145,0.92976,0.6013,0.83018,0.39275,1.10571,0.000388345,0.000388345,0.000388345
27,527.91,0.91174,0.44524,1.09036,0.92412,0.84126,0.93594,0.60729,0.82866,0.39477,1.09141,0.000373119,0.000373119,0.000373119
28,547.491,0.91935,0.44619,1.0939,0.91567,0.85594,0.93195,0.59993,0.82257,0.39095,1.10488,0.000357893,0.000357893,0.000357893
29,567.459,0.90659,0.44262,1.09011,0.89075,0.84676,0.92985,0.60365,0.8181,0.38726,1.0961,0.000342666,0.000342666,0.000342666
30,587.826,0.91239,0.44051,1.08769,0.89541,0.85858,0.93563,0.61205,0.8237,0.38737,1.09952,0.00032744,0.00032744,0.00032744
31,607.7,0.90279,0.43851,1.09,0.88452,0.8675,0.9387,0.60427,0.81866,0.37398,1.10118,0.000312214,0.000312214,0.000312214
32,627.909,0.90646,0.43684,1.09117,0.88693,0.86115,0.93086,0.60217,0.80818,0.37656,1.10355,0.000296988,0.000296988,0.000296988
