epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.156,1.17813,2.50532,1.37516,0.70755,0.63514,0.70398,0.44438,0.95517,0.79145,1.22098,0.000253353,0.000253353,0.000253353
2,41.4654,1.04011,0.96626,1.25309,0.84275,0.80357,0.88512,0.57281,0.88637,0.69144,1.17145,0.000499594,0.000499594,0.000499594
3,59.3387,0.99522,0.79698,1.21202,0.89251,0.82398,0.90958,0.57894,0.87015,0.62433,1.15344,0.000735685,0.000735685,0.000735685
4,76.9772,0.97904,0.72985,1.20534,0.89996,0.79037,0.90614,0.58074,0.87468,0.54274,1.1484,0.000723321,0.000723321,0.000723321
5,94.8021,0.9748,0.69715,1.2028,0.86837,0.82072,0.91347,0.5824,0.85968,0.57107,1.14616,0.000708095,0.000708095,0.000708095
6,112.412,0.96356,0.66534,1.19216,0.86927,0.81447,0.90582,0.58191,0.85361,0.54722,1.14842,0.000692869,0.000692869,0.000692869
7,130.011,0.95544,0.63969,1.18979,0.88513,0.82935,0.92077,0.59839,0.83965,0.52349,1.13125,0.000677643,0.000677643,0.000677643
8,147.793,0.95454,0.63256,1.18616,0.91907,0.81474,0.91812,0.58747,0.83563,0.49291,1.13193,0.000662417,0.000662417,0.000662417
9,165.463,0.95007,0.61978,1.19154,0.90896,0.83756,0.92473,0.59447,0.83997,0.4708,1.13039,0.00064719,0.00064719,0.00064719
10,183.18,0.94315,0.6084,1.18356,0.87663,0.84166,0.92468,0.58835,0.83883,0.4911,1.13552,0.000631964,0.000631964,0.000631964
11,200.832,0.94083,0.60339,1.18242,0.90993,0.83228,0.92257,0.59328,0.8256,0.44062,1.12244,0.000616738,0.000616738,0.000616738
12,218.396,0.94245,0.59959,1.18585,0.87635,0.8356,0.91673,0.58688,0.85357,0.45415,1.1326,0.000601512,0.000601512,0.000601512
13,236.049,0.94102,0.59015,1.19062,0.90053,0.84422,0.92664,0.59441,0.85636,0.45708,1.13634,0.000586286,0.000586286,0.000586286
14,253.724,0.93225,0.5811,1.19105,0.9,0.8435,0.92898,0.58764,0.82833,0.44856,1.12429,0.000571059,0.000571059,0.000571059
15,271.369,0.93033,0.57663,1.19227,0.8942,0.80821,0.91385,0.58145,0.85146,0.4688,1.1344,0.000555833,0.000555833,0.000555833
16,289.059,0.92626,0.57631,1.18142,0.85367,0.85328,0.92626,0.58792,0.8312,0.47465,1.12539,0.000540607,0.000540607,0.000540607
17,306.712,0.92506,0.57095,1.176,0.89605,0.87428,0.93882,0.60464,0.83791,0.44866,1.13122,0.000525381,0.000525381,0.000525381
18,324.389,0.9206,0.56018,1.18325,0.91482,0.82507,0.92531,0.58898,0.86353,0.50741,1.15815,0.000510155,0.000510155,0.000510155
19,342.077,0.92041,0.55965,1.17878,0.89355,0.88509,0.93425,0.59433,0.83424,0.45999,1.13343,0.000494928,0.000494928,0.000494928
20,359.613,0.92126,0.55124,1.17757,0.8953,0.82511,0.92483,0.5903,0.83168,0.43251,1.12629,0.000479702,0.000479702,0.000479702
21,377.216,0.91987,0.55205,1.18371,0.87223,0.85004,0.92367,0.58523,0.84611,0.47099,1.13662,0.000464476,0.000464476,0.000464476
22,394.863,0.91792,0.54935,1.17848,0.90212,0.83781,0.93328,0.58842,0.82847,0.44694,1.12912,0.00044925,0.00044925,0.00044925
23,412.533,0.91564,0.5424,1.18087,0.87943,0.85712,0.9253,0.5937,0.80956,0.4316,1.12181,0.000434024,0.000434024,0.000434024
24,430.229,0.90846,0.54499,1.17777,0.88879,0.8555,0.92067,0.5843,0.84128,0.44382,1.13174,0.000418797,0.000418797,0.000418797
25,447.96,0.91541,0.5452,1.17813,0.8946,0.86433,0.93037,0.59924,0.82895,0.42336,1.12501,0.000403571,0.000403571,0.000403571
26,465.663,0.90879,0.53927,1.18058,0.92041,0.85099,0.93798,0.59819,0.83364,0.44677,1.12664,0.000388345,0.000388345,0.000388345
27,483.278,0.90393,0.53692,1.17022,0.88997,0.86115,0.93126,0.59026,0.82442,0.43388,1.1194,0.000373119,0.000373119,0.000373119
28,500.871,0.90248,0.53473,1.16878,0.89424,0.85041,0.92996,0.59182,0.83571,0.43273,1.12734,0.000357893,0.000357893,0.000357893
29,518.512,0.90691,0.53488,1.17837,0.88741,0.85081,0.92683,0.58842,0.86491,0.43412,1.14271,0.000342666,0.000342666,0.000342666
30,536.14,0.90586,0.52784,1.17815,0.88238,0.86427,0.9303,0.5917,0.85266,0.41724,1.13398,0.00032744,0.00032744,0.00032744
31,553.787,0.89583,0.52864,1.1667,0.88342,0.80489,0.90913,0.58477,0.82666,0.42461,1.12697,0.000312214,0.000312214,0.000312214
32,571.475,0.89845,0.52431,1.16686,0.90402,0.84447,0.93129,0.59011,0.83638,0.41732,1.12305,0.000296988,0.000296988,0.000296988
33,589.135,0.89544,0.52817,1.17076,0.88335,0.84196,0.91876,0.58707,0.83328,0.44537,1.12705,0.000281762,0.000281762,0.000281762
34,606.766,0.89497,0.52393,1.16434,0.91948,0.85167,0.92628,0.58703,0.82649,0.41326,1.12453,0.000266535,0.000266535,0.000266535
35,624.392,0.89141,0.52344,1.15945,0.91011,0.84943,0.92898,0.59173,0.83304,0.42636,1.1286,0.000251309,0.000251309,0.000251309
36,642.003,0.89019,0.51998,1.16552,0.89282,0.85026,0.9236,0.59026,0.8387,0.43634,1.12892,0.000236083,0.000236083,0.000236083
37,659.597,0.88635,0.51826,1.15639,0.91713,0.81814,0.92729,0.59027,0.84892,0.4328,1.13656,0.000220857,0.000220857,0.000220857
38,677.225,0.88711,0.51208,1.16541,0.88158,0.84502,0.9249,0.58462,0.84203,0.41852,1.12617,0.000205631,0.000205631,0.000205631
39,694.945,0.87816,0.51029,1.15435,0.90638,0.88013,0.93254,0.59076,0.83194,0.42597,1.12306,0.000190404,0.000190404,0.000190404
40,712.637,0.88695,0.51598,1.16186,0.89543,0.83435,0.92031,0.58603,0.81606,0.42018,1.12361,0.000175178,0.000175178,0.000175178
41,756.562,0.88255,0.51431,1.15046,0.91876,0.84175,0.93256,0.59706,0.82689,0.40571,1.12495,0.000159952,0.000159952,0.000159952
42,774.269,0.87809,0.50669,1.1495,0.89561,0.85689,0.92757,0.5908,0.83981,0.40946,1.1268,0.000144726,0.000144726,0.000144726
43,791.861,0.87484,0.50743,1.15175,0.89476,0.85351,0.92285,0.58923,0.84087,0.41112,1.13118,0.0001295,0.0001295,0.0001295
44,810.114,0.87406,0.50966,1.15002,0.8926,0.85587,0.92633,0.58919,0.83169,0.40322,1.12405,0.000114273,0.000114273,0.000114273
45,827.68,0.87003,0.49988,1.15465,0.88955,0.86102,0.92745,0.59051,0.8257,0.4099,1.12465,9.90472e-05,9.90472e-05,9.90472e-05
46,845.344,0.86999,0.503,1.15567,0.89523,0.86496,0.92803,0.59077,0.83376,0.40441,1.12845,8.3821e-05,8.3821e-05,8.3821e-05
47,863.022,0.86734,0.50172,1.15353,0.90417,0.84957,0.92447,0.58852,0.82167,0.41348,1.12377,6.85948e-05,6.85948e-05,6.85948e-05
48,880.729,0.86791,0.50183,1.14744,0.90386,0.86381,0.92813,0.59112,0.8235,0.40722,1.1228,5.33686e-05,5.33686e-05,5.33686e-05
49,898.343,0.8682,0.49997,1.15198,0.90669,0.85426,0.92677,0.58994,0.82965,0.4099,1.12827,3.81424e-05,3.81424e-05,3.81424e-05
50,915.942,0.86741,0.5003,1.14687,0.89633,0.85276,0.92612,0.58703,0.82266,0.40691,1.12536,2.29162e-05,2.29162e-05,2.29162e-05
