epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3993,1.26192,2.84583,1.35787,0.73344,0.56141,0.66274,0.41822,1.00085,1.02567,1.21113,0.000253353,0.000253353,0.000253353
2,33.1629,1.09736,1.0281,1.21347,0.85175,0.77788,0.85579,0.54866,0.90072,0.71267,1.11314,0.000499594,0.000499594,0.000499594
3,47.681,1.0235,0.73475,1.16055,0.91318,0.82727,0.91604,0.57866,0.89227,0.66645,1.11165,0.000735685,0.000735685,0.000735685
4,61.57,1.0053,0.65302,1.13741,0.89294,0.85906,0.92874,0.59335,0.88009,0.60809,1.09957,0.000723321,0.000723321,0.000723321
5,75.6416,0.99567,0.61932,1.13205,0.89032,0.86404,0.93633,0.59316,0.88608,0.56701,1.07372,0.000708095,0.000708095,0.000708095
6,89.5379,0.98338,0.59117,1.12362,0.90449,0.84209,0.93449,0.60405,0.85389,0.52957,1.08227,0.000692869,0.000692869,0.000692869
7,103.487,0.97662,0.57258,1.11969,0.92777,0.82884,0.93178,0.59658,0.84969,0.51929,1.06333,0.000677643,0.000677643,0.000677643
8,117.38,0.97311,0.55315,1.11214,0.90947,0.84709,0.93474,0.59949,0.87775,0.50698,1.07723,0.000662417,0.000662417,0.000662417
9,131.35,0.97169,0.54394,1.11451,0.90241,0.84525,0.92882,0.60268,0.84964,0.48294,1.0528,0.00064719,0.00064719,0.00064719
10,145.258,0.96462,0.53307,1.10365,0.90469,0.82974,0.92671,0.59528,0.86007,0.48956,1.06114,0.000631964,0.000631964,0.000631964
11,159.168,0.96439,0.52818,1.10542,0.89844,0.84765,0.93001,0.60552,0.83879,0.48122,1.06255,0.000616738,0.000616738,0.000616738
12,173.273,0.95565,0.51988,1.1022,0.88484,0.85518,0.93434,0.60133,0.84618,0.47142,1.0646,0.000601512,0.000601512,0.000601512
13,187.327,0.95244,0.51048,1.0972,0.89289,0.85048,0.93208,0.60307,0.85064,0.46165,1.05119,0.000586286,0.000586286,0.000586286
14,201.407,0.95908,0.51154,1.10223,0.89413,0.84726,0.92708,0.59709,0.86792,0.46597,1.06445,0.000571059,0.000571059,0.000571059
15,215.445,0.94808,0.49894,1.09829,0.88728,0.84328,0.92495,0.60003,0.86001,0.46375,1.07305,0.000555833,0.000555833,0.000555833
16,229.418,0.9521,0.49898,1.10088,0.87121,0.85031,0.92604,0.59678,0.84752,0.44818,1.07481,0.000540607,0.000540607,0.000540607
17,243.355,0.94351,0.49446,1.10158,0.87842,0.85824,0.92549,0.59475,0.85916,0.45129,1.08592,0.000525381,0.000525381,0.000525381
18,257.389,0.94443,0.48878,1.09682,0.87871,0.85005,0.9305,0.59927,0.85273,0.44374,1.08069,0.000510155,0.000510155,0.000510155
19,271.352,0.94866,0.48783,1.10207,0.91848,0.82232,0.92759,0.59875,0.8513,0.43648,1.08068,0.000494928,0.000494928,0.000494928
20,285.279,0.9505,0.48703,1.1026,0.88832,0.84676,0.92955,0.60533,0.83417,0.4362,1.0765,0.000479702,0.000479702,0.000479702
21,299.259,0.9418,0.47871,1.09675,0.89015,0.84575,0.92534,0.59271,0.84976,0.43109,1.07852,0.000464476,0.000464476,0.000464476
22,313.284,0.93496,0.47328,1.08865,0.88757,0.86331,0.92724,0.59601,0.85634,0.42953,1.07968,0.00044925,0.00044925,0.00044925
23,327.375,0.93438,0.47386,1.09494,0.88545,0.85042,0.92784,0.60324,0.85274,0.42589,1.0754,0.000434024,0.000434024,0.000434024
24,341.789,0.93513,0.47204,1.09371,0.90111,0.83711,0.92882,0.60617,0.84774,0.42318,1.08,0.000418797,0.000418797,0.000418797
25,356.113,0.93332,0.46903,1.0944,0.89211,0.86841,0.93241,0.60627,0.84964,0.41668,1.08433,0.000403571,0.000403571,0.000403571
26,370.178,0.93528,0.46892,1.09072,0.88559,0.8622,0.93005,0.60275,0.85018,0.42166,1.061,0.000388345,0.000388345,0.000388345
27,384.263,0.93325,0.46243,1.08956,0.89291,0.85722,0.9306,0.60576,0.86644,0.42498,1.0883,0.000373119,0.000373119,0.000373119
28,398.257,0.93872,0.46602,1.09147,0.8764,0.86329,0.92859,0.60531,0.84043,0.41785,1.07277,0.000357893,0.000357893,0.000357893
29,412.19,0.92582,0.4612,1.08632,0.9163,0.82903,0.93224,0.60285,0.82953,0.42057,1.07216,0.000342666,0.000342666,0.000342666
30,426.23,0.93196,0.46161,1.08725,0.8873,0.85554,0.93108,0.60687,0.85389,0.419,1.07596,0.00032744,0.00032744,0.00032744
31,440.373,0.92498,0.45768,1.08604,0.88348,0.86379,0.93011,0.6048,0.86503,0.41744,1.07473,0.000312214,0.000312214,0.000312214
32,454.458,0.92805,0.45992,1.08401,0.90109,0.84662,0.9313,0.60369,0.83529,0.40761,1.06723,0.000296988,0.000296988,0.000296988
33,468.565,0.92561,0.45209,1.08366,0.89786,0.85335,0.93479,0.60632,0.83648,0.41273,1.08187,0.000281762,0.000281762,0.000281762
34,482.566,0.92933,0.45326,1.08904,0.86855,0.86737,0.93297,0.60067,0.83516,0.40688,1.07434,0.000266535,0.000266535,0.000266535
35,496.618,0.91801,0.44609,1.0817,0.87357,0.86037,0.92872,0.60353,0.83715,0.40301,1.06463,0.000251309,0.000251309,0.000251309
36,510.616,0.92163,0.45008,1.08132,0.89053,0.85542,0.92841,0.59808,0.85437,0.41128,1.08256,0.000236083,0.000236083,0.000236083
37,524.626,0.92952,0.45242,1.09484,0.89178,0.85171,0.92913,0.60071,0.84869,0.41566,1.08688,0.000220857,0.000220857,0.000220857
38,538.634,0.92098,0.44745,1.08349,0.88313,0.8543,0.92946,0.60252,0.84333,0.40676,1.08022,0.000205631,0.000205631,0.000205631
39,552.597,0.92216,0.44992,1.08699,0.87941,0.87088,0.92835,0.60214,0.83759,0.40692,1.0684,0.000190404,0.000190404,0.000190404
40,566.697,0.91902,0.44686,1.08427,0.88144,0.86869,0.92862,0.60271,0.84117,0.40508,1.06107,0.000175178,0.000175178,0.000175178
41,598.861,0.91232,0.42074,1.09928,0.90803,0.8357,0.93066,0.6019,0.83153,0.41155,1.07226,0.000159952,0.000159952,0.000159952
