epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3782,1.21526,2.76436,1.36848,0.68578,0.66227,0.76668,0.48014,1.03582,1.36527,1.29149,0.000253353,0.000253353,0.000253353
2,41.3031,1.14792,1.67059,1.31864,0.76168,0.83733,0.90864,0.57517,0.98187,1.31557,1.24365,0.000499594,0.000499594,0.000499594
3,59.7382,1.11758,1.49292,1.27812,0.74825,0.84778,0.92037,0.57693,0.95661,1.42162,1.22956,0.000735685,0.000735685,0.000735685
4,78.0417,1.0995,1.43159,1.27671,0.75692,0.87793,0.92734,0.57446,0.97083,1.20716,1.2336,0.000723321,0.000723321,0.000723321
5,96.5452,1.11667,1.38831,1.27258,0.76483,0.86035,0.91786,0.58306,0.9022,1.2719,1.1984,0.000708095,0.000708095,0.000708095
6,114.957,1.09068,1.36442,1.26698,0.80036,0.83106,0.91521,0.57573,0.92953,1.17838,1.21694,0.000692869,0.000692869,0.000692869
7,132.971,1.09932,1.35671,1.26928,0.73434,0.87921,0.91896,0.58764,0.87618,1.22412,1.17365,0.000677643,0.000677643,0.000677643
8,152.744,1.09404,1.33573,1.26325,0.75611,0.9037,0.93415,0.60054,0.90838,1.18532,1.18658,0.000662417,0.000662417,0.000662417
9,170.934,1.08321,1.31614,1.2623,0.75328,0.86813,0.92662,0.59534,0.90559,1.1471,1.19174,0.00064719,0.00064719,0.00064719
10,188.642,1.07078,1.29844,1.25251,0.75708,0.87844,0.92465,0.59234,0.87651,1.11921,1.16667,0.000631964,0.000631964,0.000631964
11,207.158,1.06551,1.29696,1.24666,0.73021,0.87605,0.91871,0.5787,0.87656,1.10997,1.17687,0.000616738,0.000616738,0.000616738
12,224.708,1.07071,1.28514,1.24279,0.76076,0.89229,0.92676,0.5923,0.86852,1.1671,1.15997,0.000601512,0.000601512,0.000601512
13,242.249,1.06909,1.28461,1.25379,0.77116,0.88631,0.93263,0.58994,0.88162,1.16465,1.16699,0.000586286,0.000586286,0.000586286
14,259.833,1.07184,1.26541,1.25386,0.73733,0.8855,0.92333,0.58674,0.89568,1.12543,1.17125,0.000571059,0.000571059,0.000571059
15,277.74,1.06362,1.27297,1.25045,0.73928,0.86825,0.93103,0.59682,0.87946,1.16338,1.16109,0.000555833,0.000555833,0.000555833
16,297.048,1.04965,1.2555,1.23773,0.7728,0.87592,0.92237,0.59056,0.86511,1.09719,1.16451,0.000540607,0.000540607,0.000540607
17,315.036,1.05564,1.26057,1.24235,0.75146,0.88227,0.91884,0.58271,0.87161,1.16314,1.16592,0.000525381,0.000525381,0.000525381
18,332.608,1.04819,1.23975,1.23917,0.73664,0.88995,0.93009,0.59312,0.84928,1.1185,1.14397,0.000510155,0.000510155,0.000510155
19,350.343,1.04555,1.24931,1.23451,0.72711,0.88701,0.92525,0.59013,0.88123,1.12718,1.16783,0.000494928,0.000494928,0.000494928
20,367.895,1.04199,1.23259,1.23179,0.77214,0.87977,0.92759,0.58393,0.91529,1.04647,1.17744,0.000479702,0.000479702,0.000479702
21,386.411,1.03531,1.23603,1.23195,0.70468,0.90609,0.92388,0.58991,0.84828,1.10885,1.14647,0.000464476,0.000464476,0.000464476
