epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.77,1.24508,2.79293,1.42392,0.85453,0.61681,0.77583,0.49128,1.04623,1.18668,1.27784,0.000253353,0.000253353,0.000253353
2,30.8851,1.13695,1.6306,1.34145,0.80197,0.86974,0.92463,0.58497,0.95495,1.33794,1.20914,0.000499594,0.000499594,0.000499594
3,43.6334,1.0986,1.42948,1.29734,0.83722,0.87165,0.93152,0.59017,0.92527,1.1481,1.19066,0.000735685,0.000735685,0.000735685
4,56.2327,1.07876,1.34346,1.29216,0.78884,0.88317,0.92605,0.58823,0.93959,1.07428,1.19016,0.000723321,0.000723321,0.000723321
5,68.9603,1.06622,1.29362,1.27989,0.76352,0.89324,0.92577,0.59357,0.91427,1.10313,1.17288,0.000708095,0.000708095,0.000708095
6,81.3529,1.06721,1.2699,1.28869,0.79296,0.88405,0.93002,0.59356,0.87476,1.01196,1.16958,0.000692869,0.000692869,0.000692869
7,93.7448,1.05088,1.23929,1.26417,0.82254,0.88072,0.92933,0.59017,0.88696,0.98849,1.16634,0.000677643,0.000677643,0.000677643
8,106.143,1.04448,1.22126,1.26672,0.78652,0.88794,0.92585,0.59341,0.88158,1.03932,1.16258,0.000662417,0.000662417,0.000662417
9,118.506,1.03169,1.20783,1.25489,0.72494,0.8891,0.92638,0.59234,0.90859,1.04655,1.17237,0.00064719,0.00064719,0.00064719
10,130.872,1.04228,1.19612,1.25282,0.76693,0.89749,0.92854,0.59486,0.89735,1.00795,1.15952,0.000631964,0.000631964,0.000631964
11,143.329,1.03062,1.19046,1.25368,0.75593,0.90779,0.92796,0.58768,0.8969,1.0327,1.1607,0.000616738,0.000616738,0.000616738
12,155.853,1.03422,1.18104,1.26431,0.79089,0.88687,0.92777,0.58862,0.87397,0.99769,1.1529,0.000601512,0.000601512,0.000601512
13,168.393,1.0262,1.17967,1.25718,0.7753,0.88739,0.92739,0.59382,0.86114,1.00554,1.14951,0.000586286,0.000586286,0.000586286
